pitcher_id,event
475115,Walk
475115,Flyout
425844,Strikeout
425844,Groundout
425844,Groundout
475115,Groundout
475115,Double
475115,Strikeout
425844,Flyout
425844,Flyout
425844,Strikeout
475115,Single
475115,Forceout
475115,Walk
475115,Lineout
475115,Forceout
425844,Groundout
425844,Lineout
425844,Lineout
475115,Groundout
475115,Strikeout
475115,Groundout
425844,Groundout
425844,Flyout
425844,Walk
425844,Pop Out
475115,Double
475115,Double
475115,Single
475115,Groundout
475115,Walk
475115,Flyout
520980,Strikeout
520980,Single
520980,Strikeout
572089,Single
554340,Field Error
554340,Pop Out
445612,Strikeout
445612,Flyout
445612,Groundout
554340,Single
554340,Groundout
554340,Intent Walk
554340,Flyout
434442,Single
434442,Pop Out
276542,Strikeout
276542,Home Run
276542,Lineout
276542,Walk
276542,Forceout
501822,Single
501822,Sac Bunt
501822,Single
501822,Double
504379,Strikeout
504379,Flyout
504379,Single
504379,Single
504379,Forceout
518886,Strikeout
518886,Strikeout
518886,Strikeout
523989,Groundout
523989,Strikeout
523989,Double
523989,Home Run
523989,Lineout
285064,Strikeout
285064,Strikeout
285064,Walk
285064,Groundout
523989,Strikeout
523989,Lineout
523989,Groundout
285064,Triple
285064,Groundout
285064,Flyout
285064,Strikeout
523989,Groundout
523989,Strikeout
523989,Lineout
285064,Groundout
285064,Flyout
285064,Double
285064,Walk
285064,Home Run
285064,Strikeout
523989,Walk
523989,Single
523989,Single
523989,Strikeout
523989,Strikeout
523989,Groundout
285064,Walk
285064,Lineout
285064,Single
285064,Forceout
285064,Groundout
523989,Single
523989,Double
523989,Sac Fly
523989,Groundout
523989,Intent Walk
523989,Pop Out
285064,Flyout
285064,Single
285064,Walk
285064,Strikeout
285064,Home Run
433589,Single
433589,Strikeout
523989,Groundout
523989,Home Run
523989,Double
446899,Double
446899,Groundout
446899,Groundout
433589,Strikeout
433589,Groundout
433589,Pop Out
517414,Groundout
517414,Single
517414,Strikeout
517414,Runner Out
502004,Single
502004,Walk
502004,Grounded Into DP
502004,Groundout
605359,Groundout
605359,Lineout
605359,Lineout
502004,Lineout
502004,Lineout
502004,Lineout
592665,Strikeout
592665,Groundout
592665,Walk
592665,Strikeout
534910,Single
534910,Grounded Into DP
534910,Hit By Pitch
534910,Forceout
407890,Single
407890,Walk
407890,Pop Out
407890,Grounded Into DP
534910,Double
534910,Lineout
534910,Strikeout
534910,Flyout
407890,Pop Out
407890,Strikeout
407890,Flyout
534910,Hit By Pitch
534910,Groundout
534910,Groundout
534910,Single
534910,Forceout
407890,Pop Out
407890,Walk
407890,Grounded Into DP
534910,Groundout
534910,Groundout
534910,Single
534910,Strikeout
407890,Strikeout
407890,Pop Out
407890,Groundout
534910,Groundout
534910,Single
534910,Single
534910,Single
534910,Groundout
534910,Groundout
407890,Single
407890,Strikeout
407890,Strikeout
407890,Pop Out
534910,Strikeout
534910,Pop Out
534910,Lineout
407890,Flyout
407890,Triple
407890,Groundout
407890,Flyout
447714,Strikeout
447714,Strikeout
447714,Single
447714,Groundout
605309,Single
605309,Walk
605309,Strikeout
605309,Single
605309,Grounded Into DP
445926,Flyout
445926,Groundout
445926,Strikeout
474521,Strikeout
474521,Lineout
474521,Groundout
445926,Lineout
445926,Hit By Pitch
472551,Pop Out
472551,Groundout
491703,Groundout
491703,Lineout
491703,Field Error
491703,Strikeout
547874,Lineout
547874,Single
547874,Home Run
547874,Single
547874,Double
547874,Field Error
547874,Strikeout
533167,Strikeout
533167,Lineout
533167,Strikeout
547874,Double
547874,Single
547874,Strikeout
547874,Sac Fly
547874,Flyout
533167,Pop Out
533167,Flyout
533167,Hit By Pitch
533167,Single
533167,Strikeout
547874,Flyout
547874,Strikeout
547874,Groundout
533167,Home Run
533167,Single
533167,Strikeout
533167,Flyout
547874,Groundout
547874,Single
547874,Single
547874,Groundout
533167,Flyout
533167,Pop Out
533167,Strikeout
547874,Groundout
547874,Groundout
547874,Groundout
533167,Lineout
533167,Single
533167,Groundout
533167,Groundout
547874,Groundout
547874,Single
547874,Flyout
547874,Lineout
533167,Groundout
533167,Double
533167,Flyout
533167,Home Run
533167,Groundout
621397,Single
621397,Sac Bunt
621397,Intent Walk
605476,Strikeout
605476,Lineout
501625,Groundout
573046,Strikeout
573046,Single
573046,Lineout
605476,Walk
605476,Hit By Pitch
605476,Strikeout
605476,Flyout
605476,Strikeout
501925,Single
501925,Double
501925,Strikeout
501925,Intent Walk
501925,Strikeout
501925,Flyout
543144,Groundout
543144,Strikeout
543144,Flyout
434718,Strikeout
434718,Lineout
434718,Flyout
543408,Strikeout
543408,Groundout
543408,Groundout
571946,Groundout
571946,Lineout
571946,Strikeout
543408,Groundout
543408,Flyout
543408,Single
543408,Single
543408,Lineout
571946,Single
571946,Lineout
571946,Lineout
571946,Groundout
543408,Walk
543408,Lineout
543408,Grounded Into DP
571946,Strikeout
571946,Strikeout
571946,Single
571946,Single
571946,Walk
571946,Forceout
543408,Walk
543408,Double Play
543408,Walk
543408,Strikeout
571946,Single
571946,Lineout
571946,Groundout
571946,Intent Walk
571946,Forceout
543408,Single
543408,Strikeout
543408,Strikeout
571946,Groundout
571946,Groundout
571946,Strikeout
543408,Flyout
543408,Flyout
